Wallet,Validating,Staked,Delegated,Current Balance,first transaction,delegated to
0xd9176e84898a0054680aec3f7c056b200c3d96c3,yes,3000000.0,17500000.0,272591187.02333415,2019-07-29 11:01:00, 0xcb876a393f05a6677a8a029f1c6d7603b416c0a6 (3000000.0);  0xaa2170569178c96f58c299d6533e05c9acd72353 (2900000.0);  0xd48247490d9de3bdd2df62ff5bde61e8151ddf75 (2900000.0);  0x9c10303229079e387ddd6621502a44b038df79e9 (2900000.0);  0x2919fbeab222930a8eba40490d0c3cf1a99ffff9 (2900000.0);  0xd48247490d9de3bdd2df62ff5bde61e8151ddf75 (2900000.0); 
0x3014ca10b91cb3d0ad85fef7a3cb95bcac9c0f79,no,0,0,30000002.3271209,2019-07-29 11:01:15,
0xcb876a393f05a6677a8a029f1c6d7603b416c0a6,yes,3000000.0,1000000.0,1590084.4418625692,2019-09-02 10:38:50, 0x0x3a4b66f1 (3e-12);  0x0x3a4b66f1 (1000000.0); 
0xaa2170569178c96f58c299d6533e05c9acd72353,yes,100000.0,0,449122.11252098903,2019-10-23 11:46:45,
0x824dbc4910b8c3671a9b287d27a0d741cf98fa95,yes,3000000.0,0,448954.7944209083,2019-10-27 08:36:15,
0xd48247490d9de3bdd2df62ff5bde61e8151ddf75,yes,100001.32763130836,0,387107.1164280207,2019-10-03 13:57:10,
0x10ff661a675ad006e2c33654ec0a47d12c00c092,yes,3000000.0,0,383255.44103852153,2019-11-03 09:45:05,
0xc07457aff57f007295ab7a66ac0e34c5c0793413,yes,3000000.0,0,169959.50238533414,2019-12-04 09:15:25,
0x9c10303229079e387ddd6621502a44b038df79e9,yes,211001.0,0,148054.47512151857,2019-12-04 08:45:40,
0xd617774b9708f79187dc7f03d3bdce0a623f6988,no,0,0,146834.23210084435,2019-09-03 10:29:45,
0x1b20638aad8714db9cbeeac88cae204eaad65a6d,no,0,0,100001.00000000001,2019-11-28 13:32:20,
0x3e4787a60fc9bdd730724fbc3d70e18ca11b88b1,no,0,0,100000.99884440692,2019-12-30 08:31:45,
0x2919fbeab222930a8eba40490d0c3cf1a99ffff9,yes,100000.99948958601,0,56935.00204030637,2019-12-25 09:27:00,
0x3ef7c9d47c5e642af0bd798358be3043216ca9d0,yes,3000000.0,0,52369.80492315399,2019-12-26 12:57:55,
0xe577d72cca2fa7d9b44f51b608c252d5aeab4517,no,0,0,10000.0,2019-11-08 09:27:05,
0x66582d24fead72555adac681cc621cacbb208324,no,0,0,8950.000000000002,2019-10-27 21:26:25,
0x418cf9e24c8e74e0155c9c7f6da8a10b0ca799cd,no,0,0,5001.197882053,2019-09-05 08:51:55,
0x88268ded421d1de2b54064f6916681e84dcc7a17,no,0,0,994.6397612750002,2019-10-27 21:25:10,
0xa6c61e75e6008eed7f75b73c84755558764081d1,no,0,0,179.23264780300002,2019-08-15 10:50:55,
0xfcceefe9f435fce31224d226f8d4c689780bdd07,no,0,0,100.00000000000001,2019-09-19 13:14:30,
